Parameters: V_min=100, V_max=1000, V_step=10 | R_min=200, R_max=1500, R_step=50 | qT=1, kappa=0.9, R_ext=500, cT=0.18, i0=0, tc=30, lam=0.12, tmax=600, dt=5e-05, (Increasing V_ext)
V_ext,R_ext,burst_freq,avg_ibi,intra_burst_freq,x_min,x_max,x_f,T'_f,V_f,V'_f
880,250,0.321666666728209,0.00320781250010649,0,-1.01443500880032,1.01781927597192,1.0140368330858,-347.727866054145,764.095341697664,655.180881920516
890,250,0.691666666798999,0.191507971020581,0,-0.917531582386723,1.01781974562462,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
900,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
910,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
920,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
930,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
940,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
950,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
960,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
970,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
980,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
990,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1000,250,0,0,0,100,-100,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
100,300,0,0,0,0.62797738704122,0.62797738704122,0.62797738704122,5.27924532238119,23.798541908926,151.115024904785
110,300,0,0,0,0.627977387302317,0.632254253860255,0.629785370390104,6.37086379804276,26.4801164616837,167.537424978248
120,300,0,0,0,0.629785370651127,0.634048064984366,0.631186128539739,7.56474770563584,29.1441880513312,183.873326310151
130,300,0,0,0,0.631186128800704,0.635507439255535,0.632186764802608,8.86283699726295,31.7726204317236,200.049713054516
140,300,0,0,0,0.63218676506353,0.636646148841135,0.632772767843234,10.2680424835527,34.3430731165358,215.975759434962
150,300,0,0,0,0.632153067435694,0.637467838535488,0.632902501956415,11.7845150410672,36.8261788456987,231.530038490618
160,300,0,0,0,0.631032723583118,0.637968197720729,0.632493268733343,13.4180667845136,39.1802787489208,246.536472577302
170,300,0,0,0,0.628000781940285,0.638140489433067,0.631387828453998,15.1768799293243,41.3401630599271,260.712374600835
180,300,0.00166666666698554,0,2.08515140509114,-0.99295690103255,0.68583860697531,0.685618408859674,-15.6486507160166,53.0837532203954,122.510382135867
190,300,0.00333333333397108,57.7012500019155,2.40777507291851,-0.995309448482928,0.69669400044867,0.659087878242031,11.9173817503672,58.7947962394877,314.244074850858
200,300,0.00333333333397108,57.7789500018104,2.54517278977199,-0.996117033346599,0.703886788347299,-0.932318990319233,40.5315432677403,63.7716869108373,187.263879038155
210,300,0.00333333333397108,53.0133000011981,2.77864362999666,-0.996888373416266,0.711032125201431,-0.781636844387256,46.3383268632733,80.3177231451758,-63.6118169411094
220,300,0.00333333333397108,45.5118500009491,2.90811528323998,-0.997593685532109,0.718076877494786,-0.895666506813406,55.0448758068666,85.3767095055091,45.907370709165
230,300,0.00333333333397108,49.7645500010902,3.04903808351893,-0.998337405083793,0.725272231873243,0.669992428914187,15.9786601564625,78.7414383142363,406.818918469327
240,300,0.00333333333397108,62.9814500018077,3.08429100156053,-0.999054030819229,0.733107791823392,-0.60691055727574,59.8313552211747,101.668975729251,-168.632877842646
250,300,0.00333333333397108,45.4979000009486,3.31536818189989,-0.999646838124774,0.740706318007696,0.740699846794203,-74.3017851801501,83.8774331043619,-164.444616621244
260,300,0.00166666666698554,0,3.28148585668702,-1.00026703758747,0.748372988039485,-0.840832976662118,71.2251657392085,119.509015153829,-40.2226224285138
270,300,0.00333333333397108,52.9471000011959,3.58135208172599,-1.0009535993305,0.758069153341188,0.723504480270486,-28.8955316611932,114.054360075286,360.962299194091
280,300,0.00333333333397108,73.2708000024323,3.52508740602753,-1.00162786954323,0.76517332395606,0.706774040566395,-2.52938985455365,116.530626763763,491.636466133235
290,300,0.00333333333397108,76.4515000024109,3.67168729984343,-1.00224337983963,0.775713632642837,0.762827851460942,-74.757369414926,131.031816565596,151.743865351571
300,300,0.00166666666698554,0,3.8059999105154,-1.00266046744587,0.792741852701086,0.714994455477027,-3.20201535385933,134.382701985472,565.64260426635
310,300,0.00166666666698554,0,3.92159963303091,-1.00310868087144,1.00693749152163,1.00758852287812,-42.698523733166,273.035421376829,271.307476573061
320,300,0,0,0,1.00758852307356,1.00797676831185,1.00798448012163,-45.424718647621,281.953768005803,279.356181739337
330,300,0,0,0,1.00798448031538,1.00836193690813,1.0083694264826,-48.2325399640009,290.875585431357,287.382218258677
340,300,0,0,0,1.00836942667471,1.00873674078637,1.00874402148908,-51.1218099743681,299.800779235596,295.386188736339
350,300,0,0,0,1.00874402167963,1.00910178153957,1.00910886555175,-54.092355266227,308.729260108743,303.368660000624
360,300,0,0,0,1.00910886574078,1.00945760843018,1.00946450688675,-57.1440063965591,317.660943529714,311.330168823972
370,300,0,0,0,1.00946450707434,1.00980472434455,1.00981144745113,-60.2765976958901,326.595749382056,319.271224320805
380,300,0,0,0,1.00981144763734,1.01014359092021,1.01015014805415,-63.4899670874561,335.533601610085,327.1923100951
390,300,0,0,0,1.01015014823906,1.01047463298049,1.01048103277854,-66.7839559199819,344.474427910123,335.093886169443
400,300,0,0,0,1.0104810329622,1.01079824238612,1.01080449282067,-70.1584088122502,353.418159452467,342.97639072263
410,300,0,0,0,1.01080449300316,1.01111478139366,1.01112088983947,-73.6131735094316,362.364730630376,350.840241658962
420,300,0,0,0,1.01112089002088,1.01142458559492,1.01143055888762,-77.1481007485756,371.314078832874,358.685838029168
430,300,0,0,0,1.01143055906801,1.01172796649866,1.01173381098623,-80.7630441335069,380.266144238605,366.513561320066
440,300,0,0,0,1.01173381116569,1.01202521380576,1.01203093539404,-84.4578600178405,389.220869628364,374.323776627813
450,300,0,0,0,1.01203093557265,1.0123165974207,1.01232220161365,-88.2324073954721,398.178200214231,382.116833727622
460,300,0,0,0,1.01232220179149,1.01260236923518,1.01260786117063,-92.0865477978943,407.138083483504,389.89306805113
470,300,0,0,0,1.0126078613478,1.01288276471426,1.01288814919587,-96.0201451977684,416.100469055869,397.652801581221
480,300,0,0,0,1.01288814937244,1.01315800431096,1.01316328583661,-100.03306591823,425.065308552415,405.396343672859
490,300,0,0,0,1.01316328601267,1.01342829473085,1.01343347751817,-104.125178547472,434.032555475305,413.123991807457
